ANNISSA ESSAIBI GEORGE,MICHELLE WU,ALL OTHERS,BLANKS,BALLOTS CAST,VOTES CAST
2645,3878,26,49,6598,6549
2799,3002,24,37,5862,5825
3215,5935,24,30,9204,9174
1356,3389,15,22,4782,4760
2297,5222,26,36,7581,7545
4017,2905,27,33,6982,6949
2948,2082,13,35,5078,5043
666,1786,23,27,2502,2475
775,2515,10,27,3327,3300
802,3291,9,21,4123,4102
819,4906,15,29,5769,5740
785,2526,39,55,3405,3350
1605,2590,16,26,4237,4211
1280,3511,54,63,4908,4845
919,1763,9,33,2724,2691
4472,2957,31,33,7493,7460
1825,4050,43,56,5974,5918
5520,10229,92,101,15942,15841
1482,7723,20,36,9261,9225
7810,8514,41,59,16424,16365
1199,4737,17,34,5987,5953
1889,4283,21,24,6217,6193
51125,91794,595,866,144380,143514
